Name,Emulated,ReleaseDate,Developer,Manufacturer,Cpu,Memory,Graphics,Sound,Display,Media,MaxControllers,Notes,Category
Commodore Plus 4,true,1984-01-01,Commodore,Commodore,MOS Technology 8501,"64 KB RAM, 64 KB ROM",MOS Technology TED,MOS Technology TED,320 x 200,"ROM Cartridge, Cassette Tape",2,"The Commodore Plus/4 is a home computer released by Commodore International in 1984. The ""Plus/4"" name refers to the four-application ROM resident office suite (word processor, spreadsheet, database, and graphing); it was billed as ""the productivity computer with software built-in"".  Internally, the Plus/4 shares the same basic architecture as the lower-end Commodore 16 and 116 models, and is able to use software and peripherals designed for them. However, it is not compatible with the well-established Commodore 64.  While the Plus/4 had some success in Europe, it was a failure in the United States, where it was derided as the ""Minus/60"".",Computers
Commodore VIC-20,true,1980-06-01,Commodore,Commodore,MOS Technology 6502,"5 KB RAM, 20 KB ROM (expandable to 32 KB)",MOS Technology VIC,3 Pulse Wave Sound Generators,176 x 184,ROM Cartridge,1,"The VIC-20 (Germany: VC-20; Japan: VIC-1001) is an 8-bit home computer that was sold by Commodore Business Machines. The VIC-20 was announced in 1980, roughly three years after Commodore's first personal computer, the PET. The VIC-20 was the first computer of any description to sell one million units.",Computers
Fujitsu FM Towns Marty,true,1993-02-20,Fujitsu,Fujitsu,"AMD 386SX, 16 MHz","2 MB RAM, 640 KB VRAM",Fujitsu Custom Graphics Chip,"Yamaha YM2612, Ricoh RF5c68",256 x 240 - 720 x 480,"CD-ROM, 3.5"" Floppy",2,"The FM Towns Marty (Efu Emu Taunzu Mati) is a fifth-generation home video game console released in 1993 by Fujitsu, exclusively for the Japanese market. It was the first 32-bit home video game system, and came complete with a built in CD-ROM drive and disk drive.",Computers
GCE Vectrex,true,1982-11-01,Western Technologies/Smith Engineering,General Consumer Electronics,"Motorola 68A09, 1.5 MHz",1 KB RAM,Vector Display,General Instrument AY-3-8912,"9"" Monitor",ROM Cartridge,2,"The GCE Vectrex, usually just referred to as Vectrex, is a second generation (1976–1992) home video game console that was developed by Western Technologies/Smith Engineering, and distributed first by General Consumer Electronics (GCE), and later by Milton Bradley Company after its purchase of GCE. It was released in November 1982 in North America at a retail price of $199. The console was later released in Europe (1983) and Japan (1983). The Vectrex had an integrated vector monitor which displayed vector graphics, which set it apart from other consoles that needed a TV to play on. The console discontinued in early 1984.",Consoles
Nuon,true,2000-11-09,VM Labs,"Motorola, Samsung, Toshiba",Quad core VM labs Nuon MPE (Media Processing Element),32-megabyte 8-bit Fast Dram,2x 3d Media GL MPE with 8-megabyte video ram,Dolby Digital 5.1 channel,360 x 240,DVD,2,"Nuon is a technology developed by VM Labs that adds features to a DVD player. In addition to viewing DVDs, one can play 3D video games and use enhanced DVD navigational tools such as zoom and smooth scanning of DVD playback. One could also play CDs while the Nuon graphics processor generates synchronized graphics on the screen. There were plans to provide Internet access capability in the next generation of Nuon-equipped DVD players.",Consoles
Mega Duck,true,1993-09-24,,Welback Holdings,Zilog Z80 @ 4.194304 MHz (embedded in custom made SoC),16 KB RAM,160×144 pixels,Built in speaker,,"36 pins ROM cartridge, 63 (l) x 54 (w) mm and 7 mm thick, 17 gram.",2,The Mega Duck WG-108 (also known as Cougar Boy) is a handheld game console that was produced by Hong Kong-based Welback Holdings through its Timlex International division and came on the market in 1993.,Handhelds
Sharp X68000,true,1987-03-01,Sharp Corporation,Sharp Corporation,Motorola 68000 (10MHz) - XVI 16MHz – X68030 25MHz,1 MB (up to 12 MB),"Hardware scrolling, priority control, super-impose",Yamaha 2151,256 x 240 / 256 x 256 / 512 x 240 / 512 x 256 / 512 x 512 / 640 x 480 / 768 x 512 / 1024 x 1024,Floppy disk,,"The X68000 is a home computer created by Sharp Corporation, first released in 1987, sold only in Japan.  The first model features a 10 MHz Motorola 68000 CPU (hence the name), 1 MB of RAM, and no hard drive; the last model was released in 1993 with a 25 MHz Motorola 68030 CPU, 4 MB of RAM, and optional 80 MB SCSI hard drive. RAM in these systems is expandable to 12 MB, though most games and applications do not require more than 2 MB.",Computers
Tandy TRS-80,true,1977-08-03,Tandy Corporation,Tandy Corporation,Zilog Z80,"4KB, 16KB max",,,,"Cassette tape, Floppy disk",,"The TRS-80 Micro Computer System (TRS-80; later known as the Model I to distinguish it from successors) is a desktop microcomputer launched in 1977 and sold by Tandy Corporation through their Radio Shack stores. The name is an abbreviation of Tandy/Radio Shack, Z-80 microprocessor. It was one of the earliest mass-produced and mass-marketed retail personal computers.  Notable features of the TRS-80 included its full-stroke QWERTY keyboard, its then-new Zilog Z80 processor (rather than the more common Intel 8080), 4K RAM standard memory (many 8-bit computers then shipped with only 1K RAM), small size and desk footprint, its floating-point BASIC programming language, an included 64 column video monitor, and a starting price of US$600 (equivalent to US$2400 in 2016).  An extensive line of upgrades and hardware peripherals for the TRS-80 was developed and marketed by Tandy/Radio Shack. The basic system could be expanded with up to 48K of RAM (in 16K increments), and up to four floppy disk drives and/or hard disk drives. Tandy/Radio Shack provided full service after-sales support including upgrade, repair, and training services in their thousands of stores worldwide.  By 1979, the TRS-80 had the largest selection of software in the microcomputer market. Until 1982, the TRS-80 was the best-selling PC line, outselling the Apple II series by a factor of 5 according to one analysis.  In mid-1980, the broadly compatible TRS-80 Model III was released. The Model I was discontinued shortly after, primarily due to stricter FCC regulations on the radio-frequency interference it caused in surrounding electronics. In April 1983 the Model III was in turn succeeded by the compatible Model 4.  As well as the original Model I and its compatible descendants, the TRS-80 name was later used as a generic brand on other technically unrelated computer lines sold by Tandy, such as the TRS-80 Model II, TRS-80 Model 2000, TRS-80 Model 100, TRS-80 Color Computer and TRS-80 Pocket Computer.",Computers
Elektronika BK,true,1984-01-01,NPO Scientific Center,NPO Scientific Center,"K1801VM1, 3MHz - 4.6MHz (Depending on the Model)",32KB,K1801VP1-037 VDC,General Instrument AY-3-8910,512 x 256,"Cassette Tape, Floppy",1,"The Electronika BK was a series of 16-bit PDP-11-compatible Soviet home computers developed by NPO Scientific Center, the leading Soviet microcomputer design team at the time. It was also responsible for the more powerful UKNC and DVK micros. First released in 1984 (developed in 1983), they were based on the ?1801??1 (Soviet LSI-11-compatible CPU) and were the only ""official"" Soviet home computer design in mass production.",Computers
Epoch Game Pocket Computer,true,1984-01-01,Epoch,Epoch,"NEC µPD78c06, 6 MHz","2176 Bytes RAM, 4KB ROM",1-Plane Bitmap Format,1 Piezoelectric Channel,75 x 64,Cartridge,Handheld,"The Epoch Game Pocket Computer is a handheld game console released by Epoch in Japan in 1984. It was one of the very few truly handheld systems to be released in the early 1980s, preceding the Game Boy by 5 years. The Game Pocket Computer used an LCD screen with a 75 × 64 resolution,and could produce graphics at about the same level as early Atari 2600 games. The system was a failure in Japan, and as a result, only 5 games were made for it.",Handhelds
Funtech Super Acan,true,1995-10-25,Funtech,Funtech,"Motorola 68000, 10.6 MHz",64KB,"GPU 128 KB VRAM, 32,768 Colors","16 Audio Channels, PCM Stereo",320 x 240,ROM Cartridge,2,"The Super Acan is a home video game console that was released exclusively in Taiwan in 1995 by Funtech. Inside is a Motorola 68000, also used in the Sega Genesis and Neo Geo. Twelve games have been confirmed to exist for the system.",Consoles
GamePark GP32,true,2001-11-23,Game Park,Game Park,Samsung S3C2400X01,8MB,16-Bit Color,44.1 kHz 16-bit Stereo Sound,320 x 240,SmartMedia,Handheld,"The GP32 (GamePark 32) is a handheld game console developed by the Korean company Game Park. It was released on November 23, 2001, in South Korea only.",Handhelds
Hartung Game Master,true,1990-01-01,Hartung,Hartung,NEC upd7810,,Monochrome,Built-In Speaker,64 x 64,Cartridge,1,"The Game Master is a handheld game console manufactured by Hartung, and designed to compete with the Nintendo Game Boy. In Germany it was marketed by Hartung itself, while in the UK it was released as the Systema 2000 by already well established maker of cheap LCD games Systema. It was also sold under alternate names in other countries, including Super Game and Game Tronic. The Game Master has a 64 x 64 monochrome LCD screen capable of displaying graphics on par with the Atari 2600.",Handhelds
Interton VC 4000,true,1978-01-01,Interton,Interton,"Signetics 2650A, 4.43 MHz",32 KB RAM,Signetics 2635 Video Controller,1 Channel,208 x 108,ROM Cartridge,2,"The VC 4000 (short for Video Computer 4000) is an early second generation 8-bit cartridge-based home video game console released in Germany in 1978 by Interton. The console is quite obscure outside Germany, but many software-compatible systems can be found in many European countries.",Consoles
MUGEN,true,1999-07-17,Elecbyte,,,,,,,,2,"M.U.G.E.N (also written as Mugen, MUGEN and M.U.G.E.N.) is a freeware 2D fighting game engine designed by Elecbyte. Content is created by the community, and thousands of fighters, both original and from popular fiction, have been created. It is written in C and originally used the Allegro library. The latest versions of the engine now use the SDL library.",Arcade
OpenBOR,true,2004-03-28,Senile Team,,,,,,,,4,"OpenBOR is an open source 2D customisable video game engine designed by Senile Team. It is a continuation of the Beats Of Rage 2D game engine. In 2004 Senile Team released Beats of Rage (BOR), a free beat-'em-up for DOS inspired by SEGA's classic ""Streets of Rage"" series of beat'em ups and using sprites from SNK Playmore's ""King of Fighters"" series. The game amassed popularity very quickly. Senile Team soon released an edit pack allowing anyone interested to create a module for the BOR engine. Later, in 2005, Senile Team opened the source code to BOR, and OpenBOR was born. Development on the engine was continued by the community, and still is to this day.",Arcade
Philips VG 5000,true,1984-10-01,Philips,Radiotechnique,Zilog Z80,24KB RAM,SGS Thomson EF9345,,320 x 250,Cassette tape,,"The VG 5000 is a computer created by Philips in 1984 . It was manufactured in Le Mans by Radiotechnique and marketed under the Philips, Radiola and Schneider brands. It was the first home computer released by Philips. It was not MSX compliant and or compatible with the other Philips VG computers. The basic was written by Microsoft.  It was designed to be a cheap computer for beginners and school purpose. Philips planned to develop a lot of peripherals for this computer : synthetiser, memory card, floppy disk unit, videodisc interface, etc... but none of them was realised. Finally, it had a limited success.",Computers
Philips Videopac+,true,,Philips,Philips,8-bit Intel microcontroller 8048,64 KB,"Intel 8244 (NTSC), Intel 8245 (PAL)",Intel 8244/8245,160 × 200,ROM cartridge,2,"The Videopac is a game console marketed by Philips in 1978. It was the European version of the Magnavox Odyssey² console produced by the American Magnavox and, like this, had to counteract the newly released Fairchild Channel F and Atari 2600 cartridge consoles. Europe was also marketed as Radiola JET 25, Schneider G7000, Siera G7000 (all Philips companies) and Philips C52 (a version for the French market only). In Brazil it was sold as Philips Odissey.",Consoles
RCA Studio II,true,1979-01-19,RCA,RCA,RCA 1802,512 KB,RCA CDP1861,Single channel buzzer,64x32,ROM cartridge,2,"The RCA Studio II is a second generation (1976–1992) home video game console developed and distributed by RCA. It was released in January 1977 at a retail price of $149. The Studio II was released with five built-in games, and was capable of making beep sounds with variations in tone and length. The console was discontinued  in February 1984.",Consoles
ScummVM,true,2001-10-05,ScummVM Team,,,,,,,,,"Script Creation Utility for Maniac Mansion Virtual Machine (ScummVM) is a set of game engine recreations. Originally designed to play LucasArts adventure games that use the SCUMM system, it also supports a variety of non-SCUMM games by companies like Revolution Software and Adventure Soft. It was originally written by Ludvig Strigeus. Released under the terms of the GNU General Public License, ScummVM is free software.  ScummVM is a reimplementation of the part of the software used to interpret the scripting languages such games used to describe the game world rather than emulating the hardware the games ran on; as such, ScummVM allows the games it supports to be played on platforms other than those for which they were originally released.",Computers
Sega Dreamcast VMU,true,1998-07-30,Sega,Sega,Sanyo LC8670,128 KB flash memory,,1-channel PWM,48×32,Dreamcast GD-ROM,1,"The Visual Memory Unit (VMU), also referred to as the Visual Memory (VM) in Japan and Europe, is the primary memory card produced by Sega for the Dreamcast home video game console. The device features a monochrome liquid crystal display (LCD), multi-player gaming capability (via connectors at the top), second screen functionality, a real-time clock, file manager, built-in flash memory, and sound capability. Prior to the launch of the Dreamcast, a special Godzilla edition VMU, preloaded with a virtual pet game, was released on July 30, 1998 in Japan.  While its most basic function is as a removable storage device, the VMU may also serve as an auxiliary display during normal gameplay and, through the use of additional software (distributed as extras on Dreamcast GD-ROMs), acts as a handheld game console. Console-like features of the VMU include a screen, speaker, proper directional pad, four action buttons, the ability to connect and interact with other VMUs, and the ability to download additional games. While the standard VMU is white, colors were expanded to include many variations. Japan even saw the release of branded VMUs, such as those by Sonic Team, Capcom and Hello Kitty.",Handhelds
Sega SC-3000,true,1983-07-15,Sega,Sega,NEC 780C,18 KB,Texas Instruments TMS9928A VDC,"Texas Instruments SN76489, 4 channel mono",256x192,ROM cartridge,2,"The SC-3000 (Sega Computer 3000) is the first and only computer to be designed and manufactured by Sega. It was first released in July of 1983 in Japan, and serves as the home computer equivalent of the SG-1000 cartridge-based video game console. The SC-3000, often known simply as the ""Sega Computer"" or even just the ""Sega"", is an 8-bit home computer almost identical in nature to the SG-1000, but with a built-in keyboard and support for more hardware expansions.  Unlike later Sega systems, the SC-3000 did not receive a worldwide release, but in markets where it did compete, including Japan, Australia, New Zealand, France, Italy and Finland, the computer fared well as a low price, entry-level machine for the home. By 1985, the SC-3000 had been displaced by more popular computer standards, but is nevertheless said to have fared better than the SG-1000 console on the global stage, and has a strong group of followers to this day.  The SC-3000 was also Sega's last home computer to be released to the general public. The company would partner with Amstrad and IBM for the Amstrad Mega PC and TeraDrive respectively in later years, but other endeavours such as the extremely rare Sega AI Computer saw only a small fraction of the success the SC-3000 received, and were built with very different aims.",Computers
Sega ST-V,true,1994-08-01,Sega,Sega,2x Hitachi SH-2,2 MB,"VDP 1, VDP 2",Yamaha YMF292-F SCSP,,ROM cartridge,2,"The Sega ST-V (Sega Titan Video game system) was an arcade system board released by Sega in 1995. Departing from their usual process of building custom arcade hardware, Sega's ST-V is essentially identical to the Sega Saturn home console system. The only difference is the media; ST-V used ROM-cartridges instead of CD-ROMs to store games. Being derived from the Saturn hardware, the ST-V was presumably named after the moon Titan, a satellite of Saturn. The majority of ST-V titles were released in Japan only, but a notable exception was the port of Dynamite Deka, which became Die Hard Arcade. Games released for the ST-V includes the arcade version of Virtua Fighter Remix, Golden Axe: The Duel and Final Fight Revenge. The shared hardware between Saturn and ST-V allowed for very ""pure"" ports for the Saturn console.",Arcade
Sinclair ZX-81,true,1981-03-05,Sinclair Research,Sinclair,Zilog Z80,1 KB (64 KB max. 56 KB usable),,Basic sound,64 x 48,Cassette tape,,"The ZX81 is a home computer produced by Sinclair Research and manufactured in Scotland by Timex Corporation. It was launched in the United Kingdom in March 1981 as the successor to Sinclair's ZX80 and was designed to be a low-cost introduction to home computing for the general public. It was hugely successful, and more than 1.5 million units were sold before it was discontinued. The ZX81 found commercial success in many other countries, notably the United States, where it was initially sold as the ZX-81. Timex manufactured and distributed it under licence and enjoyed a substantial but brief boom in sales. Timex later produced its own versions of the ZX81 for the US market – the Timex Sinclair 1000 and Timex Sinclair 1500. Unauthorised clones of the ZX81 were produced in several countries.",Computers
Sord M5,true,1982-11-18,Sord Computer Corporation,Sord Computer Corporation,Zilog Z80,20 KB (of which 16KB is screen memory),TMS9918,SN76489,,Cartridge,,"The Sord M5 is a home computer launched by Sord Computer Corporation in 1982. Primarily the Sord M5 competed in the Japanese home computer market. It was also sold as the CGL M5 in the United Kingdom by Computer Games Limited, and was reasonably popular in Czechoslovakia, where the M5 stood as one of the first affordable computers available to the general public. Takara also sold models in Japan as the Game M5, and models were also exported to South Korea.  Original models of the Sord M5 are relatively small by home computing standards, with a built in keyboard with rubber keys, similar to the ZX Spectrum. The specifications of the computer are very similar to the MSX, a computer which likely forced the Sord M5 (along with many similar Japanese computers) out of the market by the mid-1980s.  The CGL M5 was released in the UK with an introductory price of £195, higher than many of the system's competitors including the ZX Spectrum, and Commodore VIC-20. Whereas the M5 contained a cartridge slot in an age where most computers were using compact cassettes or floppy disks, the small amount of built-in RAM led to few games being produced for the system.  In South Korea, two electronics companies released different personal computers based on Sord M5. The FC-150 was produced and released by LG and the TommyCom was manufactured and launched by Koryo Systems. Both computers supported the Korean alphabet, Hangul. The system specifications of these computers were identical to the original M5 but they had differently shaped cartridge slots. Cartridges from the Sord M5 or other manufacturers could not be used on these computers directly. LG released some original software including several educational programs and games.  Despite its short production run, the M5 was supported by various big Japanese game developers such as Namco and Konami.  Other models include the M5 Pro and M5 Jr.",Computers
Texas Instruments TI 99/4A,true,,Texas Instruments,Texas Instruments,Texas Instruments TMS9900,256 bytes,Texas Instruments TMS9918A,Texas Instruments TMS9919,,"Cassette tape, Cartridge, Floppy disk",,"The Texas Instruments TI-99/4A is a home computer, it is a redesign of the TI-99/4 system, which was discontinued. The new ""4A"" has a new graphics chip and a better keyboard.  About the only way to expand the original TI-99/4A was from the expansion port on the right side of the console. Memory expansion, a serial interface, a floppy drive and other peripherals can be plugged in here for added capabilities.",Computers
Touhou Project,true,,Team Shanghai Alice (formerly ZUN Soft),Team Shanghai Alice,,,,,,,,"The Touhou Project, also known as Toho Project or Project Shrine Maiden, is a series of Japanese bullet hell shooter video games developed by the single-person Team Shanghai Alice. Team Shanghai Alice's sole member, ZUN, independently produces the games' graphics, music, and programming.  Plots in the Touhou Project games revolve around the strange phenomena occurring in Gensokyo, a fictional realm inhabited by humans and yokai, supernatural beings. Prior to the events of the games, Gensokyo was sealed off from the outside world by a magical barrier. The main protagonist of the series, Reimu Hakurei, is a shrine maiden who manages the border, fighting antagonistic yokai. The first five games were produced for the Japanese NEC PC-9801 computer series; bullet hell mechanics were introduced in the second game, Story of Eastern Wonderland. The Embodiment of Scarlet Devil, released in August 2002, marked a shift to the Microsoft Windows platform, bringing the games to a larger audience. Several sequels followed, including spin-off fighting games that diverged from the series' traditional mechanics.  The series was inducted into the Guinness World Records in October 2010 for being the ""most prolific fan-made shooter series"". The Touhou Project has spawned a media franchise including commercial fan books, music, light novels, and manga, in addition to the main series.",Arcade
Pinball,true,,,,,,,,,,,"Pinball is a type of arcade game, in which points are scored by a player manipulating one or more steel balls on a play field inside a glass-covered cabinet called a pinball machine (or ""pinball table""). The primary objective of the game is to score as many points as possible. Many modern pinball machines include a story line where the player must complete certain objectives in a certain fashion to complete the story, usually earning high scores for different methods of completing the game. Points are earned when the ball strikes different targets on the play field. A drain is situated at the bottom of the play field, partially protected by player-controlled plastic bats called flippers. A game ends after all the balls fall into the drain a certain number of times. Secondary objectives are to maximize the time spent playing (by earning ""extra balls"" and keeping the ball in play as long as possible) and to earn bonus games (known as ""replays"").",Pinball
VTech CreatiVision,true,,VTech,VTech,Rockwell 6502 ,1 KB,,,256 × 192,"Cassette tape, Floppy disk",2,"The Video Technology CreatiVision is a hybrid computer and home video game console introduced by VTech in 1981 and released in 1982. The hybrid unit was similar in concept to computers such as the APF Imagination Machine, the older VideoBrain Family Computer, and to a lesser extent the Intellivision game console and Coleco Adam computer, all of which anticipated the trend of video game consoles becoming more like low-end computers.  The CreatiVision was distributed in many European countries, in South Africa, in Israel under the Educat 2002 name, as well as in Australia under the Dick Smith Wizzard name. Other names for the system (all officially produced by VTech themselves) include the FunVision Computer Video Games System, Hanimex Rameses and VZ 2000. All CreatiVision and similar clones were designed for use with PAL standard television sets, except the Japanese CreatiVision (distributed by Cheryco) which was NTSC and is nowadays much sought after by collectors.",Consoles
Watara Supervision,true,,Watara,Watara,8-bit 65C02,,,Mono speaker,160×160,ROM cartridge,1,"The Watara Supervision (also known as the QuickShot Supervision in the UK) is a monochrome handheld game console, originating from Asia, and introduced in 1992 as a cut-price competitor for Nintendo's Game Boy. It came packaged with a game called Crystball, which is similar to Breakout. One unique feature of the Supervision was that it could be linked up to a television via a link cable. Games played in this way would display in four colors, much like Nintendo's Super Game Boy add-on for the SNES. A full color TV link was also in the works, but because of the Supervision's failure to make a major impression among gamers it was cancelled, along with the games which were in development for it.",Handhelds
WoW Action Max,true,1987-01-01,Worlds of Wonder,Worlds of Wonder,HD401010,,,Internal Speaker,,VHS cassette,1,Action Max is a home video game console using VHS tapes for games. It was created in 1987 by Worlds of Wonder. The Action Max had a very limited release outside of the U.S.,Consoles
ZiNc,true,,,,,,,,,,," Zinc is the Z Interpreter with Network Capabilities.  Zinc allows you to play text adventure games (also known as interactive fiction) either on your own, or cooperatively over a network. It comes with interpreters for two of the most popular interactive fiction file formats -- Z-machine games, and TADS games.",Arcade
Nintendo Famicom Disk System,true,1986-02-21,Nintendo,Mitsumi,Ricoh 2A03 8-bit processor,2 KB RAM plus 2 KB video RAM,32KB for program and 8KB for image data on RAM adapter cartridge,PSG 5 channel mono,256x240,Mitsumi Quick Disk ,2,"The Family Computer Disk System, sometimes shortened as the Famicom Disk System or simply the Disk System, and abbreviated as the FDS or FCD, is a peripheral for Nintendo's Family Computer home video game console, released in Japan on February 21, 1986. It uses proprietary floppy disks called ""Disk Cards"" for data storage. Through its entire production span, 1986–2003, 4.44 million units were sold.  The device is connected to the Famicom deck by plugging a special cartridge known as the RAM Adapter into the system's cartridge port, and attaching that cartridge's cable to the disk drive. The RAM adapter contains 32 kilobytes (KB) of RAM for temporary program storage, 8 KB of RAM for tile and sprite data storage, and an ASIC known as the 2C33. The ASIC acts as a disk controller for the floppy drive, and also includes additional sound hardware featuring a single-cycle wavetable-lookup synthesizer. Finally, embedded in the 2C33 is an 8KB BIOS ROM. The Disk Cards used are double-sided, with a total capacity of 112 KB per disk. Many games span both sides of a disk, requiring the user to switch sides at some point during gameplay. A few games use two full disks, totaling four sides. The Disk System is capable of running on six C-cell batteries or the supplied AC adapter. Batteries usually last five months with daily game play. The battery option is due to the likelihood of a standard set of AC plugs already being occupied by a Famicom and a television.",Consoles
NEC PC-FX,true,1994-12-23,NEC Home Electronics,NEC Home Electronics,32-Bit NEC V810,"2 MB main RAM, 1 MB shared RAM, 32 KB back-up RAM",Digitized Y'UV,16-Bit Stereo CD-DA,"256x240p, 341x240p, 256x480i, 341x480i",CD-ROM,2,"The PC-FX is a 32-bit home video game console made by NEC Home Electronics. It was released in Japan on December 23, 1994, just weeks after Sony's PlayStation and a month after the Sega Saturn. It is the successor to the PC Engine (and its many add-ons), known as TurboGrafx-16 in North America.  Unlike its predecessors the PC-FX was only released in Japan. The console is shaped like a tower PC and was meant to be similarly upgradeable. However the PC-FX lacked a 3D polygon-based graphics chip that rendered the system underpowered in comparison to its competitors. It was also expensive and lacked developer support, and as a result it was unable to compete effectively with its fifth generation peers. The PC-FX was NEC's last home video game console, and was discontinued in February 1998.",Consoles
PC Engine SuperGrafx,true,1989-12-08,NEC Home Electronics,NEC Home Electronics,8-bit Hudson HuC6280 @ 7.16 MHz,"32 KB RAM, 128 KB video RAM",2x 16-bit Hudson HuC6270 @ 10 MHz,HuC6280A,"256x224p, 352x224p, 512x224p, 256x240p, 352x240p, 512x240p, 256x448i, 352x448i, 512x448i, 256x480i, 352x480i, 512x480i",HuCard,1 (up to 5 with TurboTap),"The PC Engine SuperGrafx, also shortened as the SuperGrafx or PC Engine SG, is a video game console by NEC Home Electronics, released exclusively in Japan. It is an upgraded version of the PC Engine, released two years prior. Like the PC Engine, the SuperGrafx was also imported and sold in France.  Originally announced as the PC Engine 2, the machine was purported to be a true 16-bit system with improved graphics and audio capabilities over the original PC Engine. Expected to be released in 1990, the SuperGrafx was rushed to market, debuting several months earlier in late 1989 with only modest improvements over the original PC Engine.  Only seven games were produced which took advantage of the improved SuperGrafx hardware, and two of those could be played on a regular PC Engine. However, the SuperGrafx is backwards compatible with all PC Engine software in both, HuCard and CD-ROM format, bringing the compatible software total up to nearly 700. The system was not widely adopted and is largely seen as a commercial failure.",Consoles
NEC TurboGrafx-CD,true,1989-11-01,"NEC Corporation, Hudson Soft","NEC Corporation, Hudson Soft",Uses the TurboGrafx-16 CPU,"64 KB (system), 64 KB (sound), plus TurboGrafx-16 Video RAM",Uses the TurboGrafx-16 GPU,Oki MSM5205 @ 1.53 MHz,"256x224p, 352x224p, 512x224p, 256x240p, 352x240p, 512x240p, 256x448i, 352x448i, 512x448i, 256x480i, 352x480i, 512x480i",CD-ROM,1 (up to 5 with TurboTap),The TurboGrafx-CD is an add on for the TurboGrafx-16. It was released to expand the library of games of the TurboGrafx 16.,Consoles
TRS-80 Color Computer,true,,Tandy Corporation,Motorola,Motorola 6809E,4 KB / 16 KB / 32 KB / 64 KB / 128 KB / 512 KB,MC6847 Video Display Generator,,,"Cassette tape, Cartridge",2,"The Radio Shack TRS-80 Color Computer (also marketed as the Tandy Color Computer and affectionately nicknamed CoCo) is a line of home computers based on the Motorola 6809 processor. The Color Computer was launched in 1980, and lasted through three generations of hardware until being discontinued in 1991.",Computers
Nintendo Game & Watch,true,1980-04-28,Nintendo,Nintendo,,,,,LCD,Pre-installed software,1,"The Game & Watch series are a total of 60 handheld electronic games produced by Nintendo from 1980 to 1991. Created by game designer Gunpei Yokoi, each Game & Watch features a single game to be played on an LCD screen in addition to a clock, an alarm, or both. This console inspired Nintendo to make the Game Boy. It was the earliest Nintendo product to gain major success.",Handhelds
SNK Neo Geo CD,true,1994-09-09,SNK,SNK,"Motorola 68000, Zilog Z80A co-processor",64 KB main + 2 KB sound and 68 KB video RAM,"SNK chipset (LSPC2-A2, PRO-B0, PRO-A0)",Yamaha YM2610 15 sound channels,304 x 224,CD-ROM,2,"The Neo Geo CD, released in 1994, was initially an upgrade from the original AES. This console uses CDs instead of ROM cartridges like the AES. The unit's (approximately) 1X CD-ROM drive was slow, making loading times very long with the system loading up to 56 Mbits of data between loads. Neo Geo CD game prices were low at US$50, in contrast to Neo Geo AES game cartridges which cost as much as US$300. The system could also play Audio CDs. All three versions of the system have no region-lock.  The Neo Geo CD was bundled with a control pad instead of a joystick like the AES. However, the original AES joystick can be used with all 3 Neo Geo CD models (top loader, front loader and CDZ, an upgraded version of the CD console, that was only released in Japan), instead of the included control pads.",Consoles
Nintendo Satellaview,true,1995-04-23,Nintendo,Nintendo,,,1 MB,,,"ROM cartridge, flash memory",,"The Satellaview is a satellite modem peripheral for Nintendo's Super Famicom system that was released in Japan in 1995. Available for pre-release orders beginning February 13, 1995, the Satellaview retailed for between ¥14,000 and 18,000 (at the time between USD$141 and 182) and came bundled with the BS-X Game Pak and an 8M Memory Pak.  The Satellaview system was developed and released by Nintendo to receive signals broadcast from satellite TV station WOWOW's satellite radio subsidiary, St.GIGA. St.GIGA was responsible for file server management, maintenance, and vocalization for ""SoundLink"" games. Nintendo data broadcasts were given a fixed time slot known as the Super Famicom Hour during which scrambled Satellaview-related data was streamed via radio waves to be unscrambled by St.GIGA's ""BS digital hi-vision TV."" As a subscription-based station for ambient and New Age music, St.GIGA listeners were already equipped with ""BS tuners"" prior to St.GIGA's contract with Nintendo. Satellaview owners who lacked a ""BS tuner"" had to purchase one separately from St.GIGA at a price of ¥33,000, as well as sign up for Nintendo's and St.GIGA's monthly joint membership fees. Alternatively, users could rent ""BS tuners"" from St.GIGA for a 6-month period at a price of ¥5,400. Even at this premium price, St.GIGA reported subscriptions peaking at 116,378 households by March 1997, and dropping to around 46,000 by June 2001.",Consoles
Taito Type X,true,2005-01-01,Taito Corporation,Taito Corporation,"Intel Celeron 2.5 GHz, 400 MHz FSB",DDR266 DIMM 256MB,"(AGP-8x slot) Supported cards include ATI Radeon 9600 SE 128 MB, 9600 XT 128MB, X700 PRO 256MB",AC'97 onboard 6 channel audio CODEC,,PATA/SATA Hard disk,4,"The Taito Type X is an arcade system board released by Taito Corporation in 2004.  Based on commodity PC hardware architecture, Type X is not a specification for a single set of hardware, but rather a modular platform supporting multiple hardware configurations with different levels of graphical capability. This flexibility allows game developers limited choice in selecting a configuration to fit the game's specific requirements, and allows the platform as a whole to more efficiently support gaming titles with vastly different computing needs. For example, the Type X+ and Type X² models have upgrade graphics processing power, which could be put toward better game visuals, or outputing to higher-resolution (HDTV) displays. The Type X7 board is used primarily for pachinko machines in Japan. Rawiya co-owned the company that produced this system board.",Arcade
